Order_Date,Product_Category,Unit_Price,Quantity,Region,Revenue,Profit
2023-01-01 00:00:00.000000000,Home Goods,485.1,1,North,485.1,164.32
2023-01-04 16:14:32.727272727,Books,389.82,1,North,389.82,143.06
2023-01-08 08:29:05.454545454,Electronics,470.35,3,East,1411.05,284.18
2023-01-12 00:43:38.181818181,Home Goods,448.47,2,West,896.94,190.76
2023-01-15 16:58:10.909090909,Home Goods,302.97,5,East,1514.85,194.2
2023-01-19 09:12:43.636363636,Books,461.72,6,West,2770.32,757.64
2023-01-23 01:27:16.363636363,Electronics,53.36,7,South,373.52,41.38
2023-01-26 17:41:49.090909090,Electronics,106.03,4,North,424.12,101.65
2023-01-30 09:56:21.818181818,Home Goods,32.16,7,South,225.12,59.16
2023-02-03 02:10:54.545454545,Clothing,169.41,8,West,1355.28,252.03
2023-02-06 18:25:27.272727272,Home Goods,200.45,1,West,200.45,55.57
2023-02-10 10:40:00.000000000,Home Goods,142.96,6,South,857.76,93.62
2023-02-14 02:54:32.727272727,Home Goods,416.08,8,West,3328.64,370.16
2023-02-17 19:09:05.454545454,Home Goods,184.81,5,South,924.05,320.44
2023-02-21 11:23:38.181818181,Books,147.66,4,North,590.64,122.89
2023-02-25 03:38:10.909090909,Electronics,275.92,2,South,551.84,76.22
2023-02-28 19:52:43.636363636,Books,79.05,6,North,474.3,121.74
2023-03-04 12:07:16.363636363,Books,403.08,6,South,2418.48,800.51
2023-03-08 04:21:49.090909090,Books,46.53,1,West,46.53,7.67
2023-03-11 20:36:21.818181818,Home Goods,493.57,9,South,4442.13,1274.3
2023-03-15 12:50:54.545454545,Clothing,388.4,6,West,2330.4,292.71
2023-03-19 05:05:27.272727272,Electronics,107.37,3,South,322.11,37.21
2023-03-22 21:20:00.000000000,Clothing,12.71,4,South,50.84,13.19
2023-03-26 13:34:32.727272727,Books,409.58,4,East,1638.32,429.55
2023-03-30 05:49:05.454545454,Books,356.36,3,West,1069.08,311.35
2023-04-02 22:03:38.181818181,Clothing,367.21,3,East,1101.63,350.13
2023-04-06 14:18:10.909090908,Clothing,387.92,3,West,1163.76,457.07
2023-04-10 06:32:43.636363636,Clothing,46.28,4,East,185.12,47.19
2023-04-13 22:47:16.363636363,Books,185.65,7,North,1299.55,255.86
2023-04-17 15:01:49.090909090,Books,66.78,4,South,267.12,90.44
2023-04-21 07:16:21.818181818,Electronics,432.92,9,West,3896.28,706.2
2023-04-24 23:30:54.545454544,Electronics,315.42,1,West,315.42,73.08
2023-04-28 15:45:27.272727272,Books,172.14,8,South,1377.12,170.13
2023-05-02 08:00:00.000000000,Clothing,41.14,7,West,287.98,30.99
2023-05-06 00:14:32.727272726,Clothing,162.38,2,West,324.76,126.26
2023-05-09 16:29:05.454545454,Electronics,169.34,8,East,1354.72,475.23
2023-05-13 08:43:38.181818180,Books,367.51,1,West,367.51,113.48
2023-05-17 00:58:10.909090908,Electronics,322.4,9,North,2901.6,646.15
2023-05-20 17:12:43.636363636,Electronics,444.73,9,North,4002.57,608.34
2023-05-24 09:27:16.363636362,Home Goods,241.39,2,South,482.78,70.94
2023-05-28 01:41:49.090909090,Home Goods,68.6,7,West,480.2,84.07
2023-05-31 17:56:21.818181818,Home Goods,359.49,3,South,1078.47,285.54
2023-06-04 10:10:54.545454544,Clothing,382.78,7,North,2679.46,842.37
2023-06-08 02:25:27.272727272,Books,285.03,9,West,2565.27,764.6
2023-06-11 18:40:00.000000000,Books,387.77,4,West,1551.08,285.37
2023-06-15 10:54:32.727272726,Books,251.96,1,South,251.96,97.37
2023-06-19 03:09:05.454545454,Books,266.14,2,North,532.28,171.06
2023-06-22 19:23:38.181818180,Home Goods,219.5,1,West,219.5,58.45
2023-06-26 11:38:10.909090908,Clothing,22.46,5,South,112.3,31.84
2023-06-30 03:52:43.636363636,Clothing,62.87,5,North,314.35,71.01
2023-07-03 20:07:16.363636362,Home Goods,25.4,7,South,177.8,30.99
2023-07-07 12:21:49.090909090,Clothing,321.84,9,East,2896.56,598.98
2023-07-11 04:36:21.818181816,Home Goods,164.03,9,West,1476.27,483.26
2023-07-14 20:50:54.545454544,Books,259.2,3,East,777.6,81.12
2023-07-18 13:05:27.272727272,Home Goods,454.71,3,North,1364.13,183.91
2023-07-22 05:19:59.999999998,Books,132.15,3,East,396.45,45.12
2023-07-25 21:34:32.727272726,Books,211.09,4,East,844.36,94.75
2023-07-29 13:49:05.454545452,Electronics,380.22,8,North,3041.76,1084.81
2023-08-02 06:03:38.181818180,Home Goods,122.11,6,South,732.66,227.93
2023-08-05 22:18:10.909090908,Electronics,47.72,8,East,381.76,92.48
2023-08-09 14:32:43.636363636,Home Goods,151.98,1,South,151.98,19.66
2023-08-13 06:47:16.363636364,Home Goods,89.0,8,East,712.0,176.21
2023-08-16 23:01:49.090909088,Electronics,465.55,4,South,1862.2,450.73
2023-08-20 15:16:21.818181816,Electronics,405.98,1,North,405.98,61.69
2023-08-24 07:30:54.545454544,Home Goods,320.37,8,East,2562.96,589.88
2023-08-27 23:45:27.272727272,Clothing,437.02,4,North,1748.08,383.79
2023-08-31 16:00:00.000000000,Books,403.8,6,East,2422.8,689.9
2023-09-04 08:14:32.727272724,Electronics,101.42,8,North,811.36,235.72
2023-09-08 00:29:05.454545452,Books,447.35,4,North,1789.4,203.26
2023-09-11 16:43:38.181818180,Clothing,274.28,3,East,822.84,174.76
2023-09-15 08:58:10.909090908,Clothing,405.65,9,East,3650.85,1050.56
2023-09-19 01:12:43.636363636,Clothing,449.08,3,East,1347.24,338.08
2023-09-22 17:27:16.363636360,Electronics,165.82,9,West,1492.38,532.7
2023-09-26 09:41:49.090909088,Clothing,63.93,2,South,127.86,38.05
2023-09-30 01:56:21.818181816,Electronics,121.69,2,West,243.38,36.23
2023-10-03 18:10:54.545454544,Clothing,219.28,2,West,438.56,53.14
2023-10-07 10:25:27.272727272,Books,410.83,6,North,2464.98,721.56
2023-10-11 02:40:00.000000000,Books,431.76,3,East,1295.28,139.83
2023-10-14 18:54:32.727272724,Home Goods,13.41,9,South,120.69,33.28
2023-10-18 11:09:05.454545452,Books,260.27,4,North,1041.08,397.76
2023-10-22 03:23:38.181818180,Home Goods,214.53,1,West,214.53,58.49
2023-10-25 19:38:10.909090908,Books,118.83,4,East,475.32,102.88
2023-10-29 11:52:43.636363636,Electronics,68.73,1,North,68.73,20.14
2023-11-02 04:07:16.363636360,Books,175.43,5,East,877.15,208.3
2023-11-05 20:21:49.090909088,Home Goods,472.03,4,North,1888.12,497.87
2023-11-09 12:36:21.818181816,Home Goods,168.37,8,East,1346.96,515.13
2023-11-13 04:50:54.545454544,Clothing,264.21,8,West,2113.68,456.2
2023-11-16 21:05:27.272727272,Electronics,354.48,7,South,2481.36,963.65
2023-11-20 13:20:00.000000000,Books,188.18,3,West,564.54,209.79
2023-11-24 05:34:32.727272724,Clothing,486.17,1,South,486.17,77.17
2023-11-27 21:49:05.454545452,Books,481.6,1,East,481.6,58.18
2023-12-01 14:03:38.181818180,Books,133.37,3,North,400.11,52.11
2023-12-05 06:18:10.909090908,Clothing,253.65,6,West,1521.9,160.51
2023-12-08 22:32:43.636363636,Clothing,157.43,7,South,1102.01,141.42
2023-12-12 14:47:16.363636360,Clothing,149.57,6,West,897.42,273.63
2023-12-16 07:01:49.090909088,Clothing,28.07,6,South,168.42,20.44
2023-12-19 23:16:21.818181816,Clothing,308.69,6,West,1852.14,362.45
2023-12-23 15:30:54.545454544,Books,256.31,3,South,768.93,271.79
2023-12-27 07:45:27.272727272,Clothing,35.22,6,South,211.32,22.61
2023-12-31 00:00:00.000000000,Electronics,146.54,8,East,1172.32,403.68
